firm_id;year;Revenue;PPE;EBIT;RD;Personnel;sector;regime
360 Security Technology;2015;2.1905;0.2857;0.5;0.4286;0.5;TECH;LONG
360 Security Technology;2016;2.3571;0.3571;0.5952;0.5;0.6;TECH;LONG
360 Security Technology;2017;2.9048;0.4286;0.7619;0.5952;0.7;TECH;LONG
360 Security Technology;2018;3.119;0.5;0.8333;0.6667;0.8;TECH;LONG
360 Security Technology;2019;3.0476;0.5714;0.6667;0.7381;0.8;TECH;LONG
360 Security Technology;2020;2.7619;0.6667;0.3571;0.6905;0.7;TECH;LONG
360 Security Technology;2021;2.5952;0.7619;0.1905;0.7619;0.7;TECH;LONG
360 Security Technology;2022;2.2619;0.8333;0.0476;0.8333;0.6;TECH;LONG
360 Security Technology;2023;2.1429;0.9048;0.119;0.9048;0.6;TECH;LONG
3M (US);2015;30.3;8.5;6.6;1.8;9.0;INDUS;SHORT
3M (US);2016;30.1;8.7;6.4;1.7;9.1;INDUS;SHORT
3M (US);2017;31.7;8.8;7.1;1.9;9.1;INDUS;SHORT
3M (US);2018;32.8;9.2;7.2;1.8;9.3;INDUS;SHORT
3M (US);2019;32.1;10.1;6.2;1.9;9.6;INDUS;SHORT
3M (US);2020;32.2;10.5;7.1;1.9;9.5;INDUS;SHORT
3M (US);2021;35.4;10.8;8.2;2.0;9.5;INDUS;SHORT
3M (US);2022;34.2;11.1;6.5;1.9;9.2;INDUS;SHORT
3M (US);2023;32.7;10.5;5.8;1.8;8.5;INDUS;SHORT
3M (US);2024;33.5;10.2;6.1;1.9;8.3;INDUS;SHORT
ABB (EU);2015;35.5;5.1;3.1;1.5;13.5;INDUS;SHORT
ABB (EU);2016;33.8;4.8;3.0;1.3;13.2;INDUS;SHORT
ABB (EU);2017;34.3;4.7;3.2;1.4;13.5;INDUS;SHORT
ABB (EU);2018;27.7;4.2;2.3;1.2;14.7;INDUS;SHORT
ABB (EU);2019;28.0;4.1;1.9;1.2;14.4;INDUS;SHORT
ABB (EU);2020;26.1;4.3;1.6;1.1;10.6;INDUS;SHORT
ABB (EU);2021;28.9;4.0;5.7;1.2;10.5;INDUS;SHORT
ABB (EU);2022;29.4;3.9;3.3;1.2;10.5;INDUS;SHORT
ABB (EU);2023;32.2;4.1;4.9;1.3;10.8;INDUS;SHORT
ABB (EU);2024;33.5;4.3;5.2;1.4;11.0;INDUS;SHORT
AGCO (US);2015;7.46;1.25;0.45;0.32;1.95;INDUS;SHORT
AGCO (US);2016;7.41;1.22;0.42;0.31;1.98;INDUS;SHORT
AGCO (US);2017;8.3;1.28;0.55;0.35;2.05;INDUS;SHORT
AGCO (US);2018;9.35;1.35;0.65;0.38;2.1;INDUS;SHORT
AGCO (US);2019;9.04;1.42;0.62;0.4;2.1;INDUS;SHORT
AGCO (US);2020;9.15;1.55;0.75;0.42;2.15;INDUS;SHORT
AGCO (US);2021;11.13;1.65;1.15;0.45;2.3;INDUS;SHORT
AGCO (US);2022;12.65;1.75;1.35;0.48;2.45;INDUS;SHORT
AGCO (US);2023;14.41;1.85;1.65;0.52;2.8;INDUS;SHORT
AGCO (US);2024;13.2;1.95;1.25;0.55;2.75;INDUS;SHORT
AMD (US);2015;4.0;0.4;-0.5;0.9;0.9;TECH;LONG
AMD (US);2016;4.3;0.4;-0.4;1.0;0.9;TECH;LONG
AMD (US);2017;5.3;0.4;0.2;1.2;0.9;TECH;LONG
AMD (US);2018;6.5;0.5;0.5;1.4;1.0;TECH;LONG
AMD (US);2019;6.7;0.7;0.6;1.5;1.1;TECH;LONG
AMD (US);2020;9.8;0.9;1.4;2.0;1.3;TECH;LONG
AMD (US);2021;16.4;1.2;3.6;2.8;1.6;TECH;LONG
AMD (US);2022;23.6;1.5;1.3;5.0;2.5;TECH;LONG
AMD (US);2023;22.7;1.7;0.4;5.9;2.6;TECH;LONG
AMD (US);2024;25.5;1.9;1.2;6.5;2.7;TECH;LONG
ANSYS (US);2015;0.98;0.05;0.34;0.2;0.36;TECH;LONG
ANSYS (US);2016;1.07;0.05;0.37;0.21;0.38;TECH;LONG
ANSYS (US);2017;1.18;0.06;0.41;0.24;0.4;TECH;LONG
ANSYS (US);2018;1.3;0.07;0.45;0.26;0.43;TECH;LONG
ANSYS (US);2019;1.43;0.07;0.5;0.29;0.45;TECH;LONG
ANSYS (US);2020;1.57;0.08;0.55;0.31;0.48;TECH;LONG
ANSYS (US);2021;1.73;0.09;0.61;0.35;0.51;TECH;LONG
ANSYS (US);2022;1.9;0.1;0.66;0.38;0.54;TECH;LONG
ANSYS (US);2023;2.09;0.1;0.73;0.42;0.57;TECH;LONG
ANSYS (US);2024;2.3;0.11;0.8;0.46;0.6;TECH;LONG
ASML (EU);2015;6.3;1.5;1.6;1.1;1.5;INDUS;SHORT
ASML (EU);2016;6.8;1.7;1.8;1.3;1.6;INDUS;SHORT
ASML (EU);2017;9.0;2.0;2.5;1.5;1.9;INDUS;SHORT
ASML (EU);2018;10.9;2.4;3.0;1.7;2.3;INDUS;SHORT
