company;year;ca;ppe;ebit;rd;personnel;groupe
3M (US);2015;30.3;8.5;6.6;1.8;9.0;INDUS
3M (US);2016;30.1;8.7;6.4;1.7;9.1;INDUS
3M (US);2017;31.7;8.8;7.1;1.9;9.1;INDUS
3M (US);2018;32.8;9.2;7.2;1.8;9.3;INDUS
3M (US);2019;32.1;10.1;6.2;1.9;9.6;INDUS
3M (US);2020;32.2;10.5;7.1;1.9;9.5;INDUS
3M (US);2021;35.4;10.8;8.2;2.0;9.5;INDUS
3M (US);2022;34.2;11.1;6.5;1.9;9.2;INDUS
3M (US);2023;32.7;10.5;5.8;1.8;8.5;INDUS
3M (US);2024;33.5;10.2;6.1;1.9;8.3;INDUS
ABB (EU);2015;35.5;5.1;3.1;1.5;13.5;INDUS
ABB (EU);2016;33.8;4.8;3.0;1.3;13.2;INDUS
ABB (EU);2017;34.3;4.7;3.2;1.4;13.5;INDUS
ABB (EU);2018;27.7;4.2;2.3;1.2;14.7;INDUS
ABB (EU);2019;28.0;4.1;1.9;1.2;14.4;INDUS
ABB (EU);2020;26.1;4.3;1.6;1.1;10.6;INDUS
ABB (EU);2021;28.9;4.0;5.7;1.2;10.5;INDUS
ABB (EU);2022;29.4;3.9;3.3;1.2;10.5;INDUS
ABB (EU);2023;32.2;4.1;4.9;1.3;10.8;INDUS
ABB (EU);2024;33.5;4.3;5.2;1.4;11.0;INDUS
AGCO (US);2015;7.46;1.25;0.45;0.32;1.95;INDUS
AGCO (US);2016;7.41;1.22;0.42;0.31;1.98;INDUS
AGCO (US);2017;8.3;1.28;0.55;0.35;2.05;INDUS
AGCO (US);2018;9.35;1.35;0.65;0.38;2.1;INDUS
AGCO (US);2019;9.04;1.42;0.62;0.4;2.1;INDUS
AGCO (US);2020;9.15;1.55;0.75;0.42;2.15;INDUS
AGCO (US);2021;11.13;1.65;1.15;0.45;2.3;INDUS
AGCO (US);2022;12.65;1.75;1.35;0.48;2.45;INDUS
AGCO (US);2023;14.41;1.85;1.65;0.52;2.8;INDUS
AGCO (US);2024;13.2;1.95;1.25;0.55;2.75;INDUS
ASML (EU);2015;6.3;1.5;1.6;1.1;1.5;INDUS
ASML (EU);2016;6.8;1.7;1.8;1.3;1.6;INDUS
ASML (EU);2017;9.0;2.0;2.5;1.5;1.9;INDUS
ASML (EU);2018;10.9;2.4;3.0;1.7;2.3;INDUS
ASML (EU);2019;11.8;2.8;2.8;2.0;2.5;INDUS
ASML (EU);2020;14.0;3.4;4.0;2.2;2.8;INDUS
ASML (EU);2021;18.6;4.2;6.0;2.5;3.2;INDUS
ASML (EU);2022;21.2;5.1;6.5;3.2;3.9;INDUS
ASML (EU);2023;27.6;6.2;9.0;4.0;4.2;INDUS
ASML (EU);2024;30.5;7.1;10.2;4.5;4.5;INDUS
ATS Corp (CA);2015;1.55;0.23;0.16;0.05;0.57;INDUS
ATS Corp (CA);2016;1.61;0.24;0.16;0.05;0.58;INDUS
ATS Corp (CA);2017;1.67;0.25;0.17;0.05;0.59;INDUS
ATS Corp (CA);2018;1.74;0.26;0.17;0.05;0.61;INDUS
ATS Corp (CA);2019;1.81;0.27;0.18;0.05;0.62;INDUS
ATS Corp (CA);2020;1.88;0.28;0.19;0.06;0.64;INDUS
ATS Corp (CA);2021;1.96;0.29;0.2;0.06;0.65;INDUS
ATS Corp (CA);2022;2.03;0.3;0.2;0.06;0.67;INDUS
ATS Corp (CA);2023;2.12;0.32;0.21;0.06;0.68;INDUS
ATS Corp (CA);2024;2.2;0.33;0.22;0.07;0.7;INDUS
Adama Solutions;2015;4.6476;2.0119;0.4405;0.131;0.65;INDUS
Adama Solutions;2016;4.7976;2.1071;0.4643;0.1381;0.68;INDUS
Adama Solutions;2017;5.3452;2.2024;0.5119;0.1476;0.72;INDUS
Adama Solutions;2018;6.1;2.4167;0.5833;0.1619;0.78;INDUS
Adama Solutions;2019;6.631;2.6786;0.5119;0.1714;0.82;INDUS
Adama Solutions;2020;6.7738;2.9643;0.3619;0.1786;0.85;INDUS
Adama Solutions;2021;7.3929;3.2976;0.2976;0.1952;0.88;INDUS
Adama Solutions;2022;8.8452;3.6;0.2024;0.2262;0.92;INDUS
